project_id,target_locale,translator_id,role
1,de-DE,352,Translator
2,zh-CN,2,Translator
2,zh-CN,497,Reviewer
2,de-DE,61,Translator
2,de-DE,197,Reviewer
2,es-ES,101,Translator
2,es-ES,223,Reviewer
2,fr-FR,453,Translator
2,fr-FR,380,Reviewer
2,ja-JP,193,Translator
2,ja-JP,211,Reviewer
3,ko-KR,157,Translator
3,ko-KR,413,Reviewer
3,ja-JP,73,Translator
3,ja-JP,193,Reviewer
3,de-DE,434,Translator
3,de-DE,352,Reviewer
4,ja-JP,254,Translator
4,ja-JP,73,Reviewer
4,de-DE,240,Translator
4,de-DE,301,Reviewer
4,ko-KR,445,Translator
4,ko-KR,358,Reviewer
4,fr-FR,302,Translator
4,fr-FR,250,Reviewer
4,es-ES,475,Translator
4,es-ES,263,Reviewer
5,ja-JP,491,Translator
5,ja-JP,421,Reviewer
5,es-ES,134,Translator
5,es-ES,141,Reviewer
5,ko-KR,83,Translator
5,ko-KR,321,Reviewer
6,en-GB,212,Translator
6,en-GB,396,Reviewer
6,de-DE,240,Translator
6,de-DE,71,Reviewer
6,fr-FR,229,Translator
6,fr-FR,453,Reviewer
7,de-DE,97,Translator
7,de-DE,199,Reviewer
7,es-ES,263,Translator
7,es-ES,475,Reviewer
7,fr-FR,3,Translator
7,fr-FR,380,Reviewer
7,da-DK,70,Translator
7,da-DK,120,Reviewer
8,en-GB,150,Translator
8,de-DE,144,Translator
8,fr-FR,380,Translator
9,fr-FR,464,Translator
9,de-DE,71,Translator
9,it-IT,216,Translator
9,es-ES,90,Translator
10,de-DE,197,Translator
10,de-DE,288,Reviewer
11,ko-KR,102,Translator
11,de-DE,115,Translator
11,ja-JP,366,Translator
11,fr-FR,444,Translator
11,zh-CN,184,Translator
12,fr-FR,435,Translator
12,fr-FR,91,Reviewer
12,de-DE,303,Translator
12,de-DE,339,Reviewer
12,en-GB,324,Translator
12,en-GB,30,Reviewer
13,zh-CN,42,Translator
13,zh-CN,228,Reviewer
13,fr-FR,24,Translator
13,fr-FR,94,Reviewer
13,de-DE,301,Translator
13,de-DE,199,Reviewer
14,es-ES,231,Translator
14,es-ES,390,Reviewer
14,nl-NL,311,Translator
14,nl-NL,439,Reviewer
14,de-DE,71,Translator
14,de-DE,48,Reviewer
14,fr-FR,484,Translator
14,fr-FR,158,Reviewer
14,it-IT,416,Translator
14,it-IT,47,Reviewer
15,ja-JP,295,Translator
15,fr-FR,158,Translator
15,es-ES,45,Translator
15,de-DE,61,Translator
16,ja-JP,455,Translator
16,ja-JP,285,Reviewer
16,es-ES,90,Translator
16,es-ES,294,Reviewer
16,de-DE,352,Translator
16,de-DE,370,Reviewer
16,fr-FR,322,Translator
16,fr-FR,158,Reviewer
16,it-IT,216,Translator
16,it-IT,347,Reviewer
17,fr-FR,162,Translator
17,fr-FR,459,Reviewer
17,es-ES,226,Translator
17,es-ES,29,Reviewer
17,zh-CN,111,Translator
17,zh-CN,340,Reviewer
18,zh-CN,376,Translator
18,de-DE,434,Translator
18,fr-FR,171,Translator
19,ja-JP,397,Translator
19,ja-JP,270,Reviewer
19,de-DE,301,Translator
19,de-DE,144,Reviewer
19,es-ES,241,Translator
19,es-ES,101,Reviewer
19,fr-FR,459,Translator
19,fr-FR,91,Reviewer
19,it-IT,408,Translator
19,it-IT,428,Reviewer
20,de-DE,144,Translator
20,de-DE,424,Reviewer
21,zh-CN,42,Translator
21,zh-CN,20,Reviewer
22,ja-JP,255,Translator
23,es-ES,134,Translator
23,es-ES,390,Reviewer
23,fr-FR,380,Translator
23,fr-FR,82,Reviewer
23,da-DK,195,Translator
23,da-DK,407,Reviewer
23,de-DE,78,Translator
23,de-DE,48,Reviewer
24,fr-FR,381,Translator
24,fr-FR,302,Reviewer
24,de-DE,424,Translator
24,de-DE,224,Reviewer
24,ja-JP,211,Translator
24,ja-JP,366,Reviewer
24,es-ES,76,Translator
24,es-ES,163,Reviewer
25,en-US,117,Translator
25,en-US,233,Reviewer
25,de-DE,300,Translator
25,de-DE,424,Reviewer
25,fr-FR,381,Translator
25,fr-FR,229,Reviewer
26,en-US,384,Translator
26,en-US,315,Reviewer
26,de-DE,78,Translator
26,de-DE,199,Reviewer
26,fr-FR,158,Translator
26,fr-FR,326,Reviewer
26,es-ES,323,Translator
26,es-ES,66,Reviewer
27,fr-FR,441,Translator
27,fr-FR,451,Reviewer
27,es-ES,141,Translator
27,es-ES,475,Reviewer
27,ja-JP,74,Translator
27,ja-JP,182,Reviewer
27,it-IT,385,Translator
27,it-IT,467,Reviewer
27,de-DE,352,Translator
27,de-DE,224,Reviewer
28,es-ES,141,Translator
28,es-ES,399,Reviewer
28,pt-BR,296,Translator
28,pt-BR,337,Reviewer
28,it-IT,465,Translator
28,it-IT,181,Reviewer
28,fr-FR,236,Translator
28,fr-FR,277,Reviewer
28,de-DE,97,Translator
28,de-DE,339,Reviewer
29,es-ES,161,Translator
29,es-ES,134,Reviewer
29,it-IT,408,Translator
29,it-IT,385,Reviewer
30,ja-JP,317,Translator
30,ko-KR,432,Translator
30,fr-FR,381,Translator
31,es-ES,241,Translator
31,de-DE,240,Translator
32,de-DE,78,Translator
32,de-DE,309,Reviewer
32,en-US,259,Translator
32,en-US,248,Reviewer
32,fr-FR,406,Translator
32,fr-FR,94,Reviewer
32,ja-JP,221,Translator
32,ja-JP,491,Reviewer
33,fr-FR,363,Translator
33,de-DE,370,Translator
33,ja-JP,364,Translator
33,es-ES,161,Translator
33,ko-KR,207,Translator
34,zh-CN,312,Translator
34,zh-CN,489,Reviewer
35,fr-FR,24,Translator
35,fr-FR,169,Reviewer
36,zh-CN,340,Translator
36,zh-CN,335,Reviewer
36,ja-JP,73,Translator
36,ja-JP,421,Reviewer
36,de-DE,374,Translator
36,de-DE,110,Reviewer
37,fr-FR,244,Translator
37,fr-FR,451,Reviewer
37,de-DE,309,Translator
37,de-DE,48,Reviewer
37,en-US,422,Translator
37,en-US,212,Reviewer
37,ja-JP,98,Translator
37,ja-JP,221,Reviewer
38,fr-FR,406,Translator
38,de-DE,301,Translator
38,it-IT,443,Translator
38,es-ES,45,Translator
39,fr-FR,5,Translator
39,fr-FR,58,Reviewer
39,de-DE,301,Translator
39,de-DE,142,Reviewer
39,zh-CN,2,Translator
39,zh-CN,376,Reviewer
40,nl-NL,87,Translator
40,fr-FR,365,Translator
40,it-IT,416,Translator
40,de-DE,240,Translator
40,es-ES,141,Translator
41,ja-JP,270,Translator
41,de-DE,199,Translator
41,fr-FR,158,Translator
42,de-DE,142,Translator
42,de-DE,78,Reviewer
42,fr-FR,363,Translator
42,fr-FR,327,Reviewer
42,en-GB,480,Translator
42,en-GB,487,Reviewer
43,es-ES,90,Translator
43,zh-CN,50,Translator
43,fr-FR,326,Translator
43,de-DE,115,Translator
44,fr-FR,464,Translator
44,en-GB,121,Translator
44,de-DE,56,Translator
45,ja-JP,187,Translator
45,ja-JP,266,Reviewer
45,de-DE,374,Translator
45,de-DE,303,Reviewer
46,de-DE,110,Translator
46,es-ES,45,Translator
46,fr-FR,464,Translator
46,ja-JP,397,Translator
47,ja-JP,74,Translator
47,de-DE,348,Translator
48,de-DE,115,Translator
48,en-GB,446,Translator
48,fr-FR,33,Translator
49,de-DE,61,Translator
49,de-DE,348,Reviewer
49,es-ES,163,Translator
49,es-ES,90,Reviewer
49,ja-JP,266,Translator
49,ja-JP,187,Reviewer
49,fr-FR,91,Translator
49,fr-FR,158,Reviewer
50,es-ES,483,Translator
50,es-ES,226,Reviewer
51,de-DE,78,Translator
51,de-DE,434,Reviewer
51,fr-FR,169,Translator
51,fr-FR,365,Reviewer
51,ja-JP,211,Translator
51,ja-JP,494,Reviewer
52,ja-JP,74,Translator
52,it-IT,347,Translator
52,de-DE,240,Translator
52,fr-FR,302,Translator
52,es-ES,223,Translator
53,fr-FR,453,Translator
53,fr-FR,3,Reviewer
53,ja-JP,470,Translator
53,ja-JP,72,Reviewer
53,zh-CN,376,Translator
53,zh-CN,20,Reviewer
53,de-DE,288,Translator
53,de-DE,115,Reviewer
54,en-US,93,Translator
54,en-US,422,Reviewer
54,de-DE,374,Translator
54,de-DE,110,Reviewer
54,ja-JP,182,Translator
54,ja-JP,239,Reviewer
55,fr-FR,484,Translator
55,fr-FR,441,Reviewer
56,ja-JP,366,Translator
56,de-DE,115,Translator
56,es-ES,226,Translator
56,fr-FR,260,Translator
57,fr-FR,164,Translator
57,fr-FR,169,Reviewer
57,ja-JP,295,Translator
57,ja-JP,285,Reviewer
57,es-ES,390,Translator
57,es-ES,141,Reviewer
58,de-DE,424,Translator
59,en-GB,498,Translator
59,de-DE,309,Translator
59,fr-FR,277,Translator
60,de-DE,303,Translator
60,fr-FR,365,Translator
60,en-US,468,Translator
61,en-GB,313,Translator
61,en-GB,487,Reviewer
61,de-DE,240,Translator
61,de-DE,424,Reviewer
61,fr-FR,406,Translator
61,fr-FR,82,Reviewer
62,it-IT,416,Translator
62,it-IT,216,Reviewer
63,ko-KR,413,Translator
63,ko-KR,321,Reviewer
64,ja-JP,72,Translator
64,ja-JP,449,Reviewer
65,es-ES,101,Translator
65,es-ES,134,Reviewer
65,fr-FR,369,Translator
65,fr-FR,164,Reviewer
65,it-IT,385,Translator
65,it-IT,465,Reviewer
65,de-DE,352,Translator
65,de-DE,374,Reviewer
65,ja-JP,187,Translator
65,ja-JP,255,Reviewer
66,fr-FR,277,Translator
66,fr-FR,3,Reviewer
66,nl-NL,65,Translator
66,nl-NL,499,Reviewer
67,de-DE,97,Translator
67,de-DE,71,Reviewer
67,ja-JP,317,Translator
67,ja-JP,295,Reviewer
67,fr-FR,5,Translator
67,fr-FR,459,Reviewer
