translator_id,industry
1,Media & Entertainment
1,Manufacturing
1,Retail
2,Software
2,Healthcare
3,Legal
3,Healthcare
4,Gaming
5,Media & Entertainment
5,Healthcare
6,Software
6,Manufacturing
6,Media & Entertainment
7,Media & Entertainment
7,E-learning
7,Retail
8,Software
8,Finance
8,Gaming
9,Retail
9,Legal
9,Media & Entertainment
10,E-learning
10,Gaming
10,Manufacturing
11,Finance
12,E-learning
12,Manufacturing
12,Healthcare
13,Travel
13,Retail
13,Finance
14,Legal
14,Media & Entertainment
14,Finance
15,Media & Entertainment
15,Software
16,Software
16,Media & Entertainment
16,Gaming
17,Legal
17,Software
18,Retail
18,Travel
19,Software
19,Travel
20,Travel
21,Healthcare
21,Software
21,Retail
22,Finance
22,E-learning
23,Manufacturing
24,Software
25,Travel
25,Finance
25,Legal
26,Media & Entertainment
27,Retail
27,E-learning
27,Legal
28,Manufacturing
29,Manufacturing
29,Gaming
29,Travel
30,Retail
30,E-learning
30,Healthcare
31,Gaming
31,Manufacturing
32,Healthcare
32,Retail
32,Finance
33,Legal
33,Manufacturing
33,Gaming
34,Healthcare
34,Manufacturing
35,Gaming
36,Media & Entertainment
37,Media & Entertainment
37,Retail
38,Travel
39,Software
40,Finance
40,Healthcare
40,Media & Entertainment
41,Legal
42,E-learning
42,Manufacturing
42,Travel
43,Healthcare
43,Travel
43,Manufacturing
44,Healthcare
44,Travel
45,Media & Entertainment
46,Media & Entertainment
47,Finance
47,Software
47,Legal
48,Healthcare
49,Gaming
49,Legal
49,Software
50,Legal
51,Media & Entertainment
51,Healthcare
51,Software
52,Healthcare
52,E-learning
53,Retail
54,Gaming
54,Healthcare
55,Media & Entertainment
55,Legal
56,Manufacturing
56,Software
57,Travel
57,Media & Entertainment
58,Gaming
59,Healthcare
59,Retail
60,E-learning
60,Retail
61,E-learning
61,Legal
62,Software
63,Gaming
64,Media & Entertainment
64,Software
65,Healthcare
66,E-learning
67,Gaming
68,Finance
68,Manufacturing
68,Retail
69,Travel
69,E-learning
69,Legal
70,E-learning
70,Retail
71,Gaming
71,Finance
72,Gaming
72,Media & Entertainment
72,Software
73,E-learning
73,Gaming
73,Legal
74,Retail
75,Healthcare
75,Travel
76,Media & Entertainment
76,Software
76,Legal
77,Finance
78,Finance
79,Media & Entertainment
80,Gaming
80,Healthcare
81,E-learning
82,Legal
83,Legal
84,Media & Entertainment
84,Gaming
84,Retail
85,Software
85,Travel
86,Software
86,Healthcare
87,Manufacturing
88,Travel
88,Finance
89,Travel
89,Gaming
90,Software
90,Retail
90,Legal
